t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.64,0.41139081863490407,-0.45675712000735785,0.0,1.5361558591833682,-1.0892819044272408,0.0,0.5047523909584404,5.337993740678435,0.0,-20.855730230013293,38.95787353173226,0.0,63.41633829303843,-254.175956391461,0.0,0.0
0.65,0.4267741653545698,-0.46737665244665527,0.0,1.5401711858289826,-1.0339965127981412,0.0,0.2993738087153631,5.714833183705762,0.0,-20.219216046467768,36.407077845164615,0.0,63.878351406035684,-255.93800606995893,0.0,0.0
0.66,0.44218750268563367,-0.4774249148414852,0.0,1.5421646272816927,-0.9750705487605988,0.0,0.10038263172048545,6.066081156734377,0.0,-19.57833515885417,33.84004565364584,0.0,64.28877743055557,-257.4203827546297,0.0,0.0
0.67,0.4576109318522675,-0.48686678362937946,0.0,1.5422002671059167,-0.9127606915090258,0.0,-0.09218014250754536,6.391589565827163,0.0,-18.933630488340196,31.259659925925924,0.0,64.64220631001373,-258.6058386831277,0.0,0.0
0.68,0.47302519687142225,-0.49566970895682966,0.0,1.540342570793525,-0.8473249541541412,0.0,-0.2782792161645886,6.691240009122623,0.0,-18.285699056659382,28.668976108378338,0.0,64.9332279878258,-259.4771260931071,0.0,0.0
0.6900000000000001,0.4884116880781001,-0.5038037265051001,0.0,1.5366563260616666,-0.779022378178333,0.0,-0.4578855321666676,6.964945501611114,0.0,-17.635191986111113,26.07122212499999,0.0,65.15643240740742,-260.0169972222223,0.0,0.0
0.7000000000000001,0.5037524450265543,-0.5112414661743552,0.0,1.5312065777405388,-0.7081127106432589,0.0,-0.6309768151556295,7.212652199911075,0.0,-16.982814499560615,23.469798377411255,0.0,65.30640951217423,-260.2082043081277,0.0,0.0
0.71,0.5190301587133161,-0.5179581574536252,0.0,1.5240585572511018,-0.6348560641496848,0.0,-0.7975381125048008,7.434341127045268,0.0,-16.329325920438965,20.86827774485598,0.0,65.37774924554185,-260.03349958847747,0.0,0.0
0.72,0.5342281730679508,-0.5239316313041305,0.0,1.5152776066727343,-0.5595125595495575,0.0,-0.9575623353246526,7.630029897217014,0.0,-15.67553967274306,18.270405584201402,0.0,65.36504155092594,-259.475635300926,0.0,0.0
0.73,0.5493304856574359,-0.5291423183834877,0.0,1.5049290974008345,-0.48234195141032254,0.0,-1.1110507994684502,7.79977444058642,0.0,-15.022323281035671,15.680099729938277,0.0,65.26287637174212,-258.51736368312766,0.0,0.0
0.74,0.5643217475500695,-0.5335732434383211,0.0,1.4930783433943635,-0.4036032362314719,0.0,-1.2580137665379163,7.943670728046619,0.0,-14.370598370445391,13.101450494180817,0.0,65.06584365140606,-257.1414369727367,0.0,0.0
0.75,0.5791872622848,-0.5372100156928,0.0,1.4797905090133332,-0.3235542434133333,0.0,-1.3984709848888892,8.061856496,0.0,-13.72134066666667,10.538720666666674,0.0,64.76853333333335,-255.33060740740748,0.0,0.0
0.76,0.5939129838918837,-0.5400408150606254,0.0,1.4651305114462359,-0.24245120897809724,0.0,-1.532452230636982,8.154512971134453,0.0,-13.075579995959794,7.996345514756946,0.0,64.36553536093966,-253.06762722479434,0.0,0.0
0.77,0.6084855139107638,-0.5420563740079878,0.0,1.4491629177274188,-0.1605483320430795,0.0,-1.659997848663238,8.22186659519959,0.0,-12.434400285150893,5.478932783436214,0.0,63.85143967764062,-250.33524866255152,0.0,0.0
0.78,0.6228920973510743,-0.5432499548950196,0.0,1.4319518363444008,-0.07809731404622378,0.0,-1.7811592936197922,8.264190749782987,0.0,-11.798939561631945,2.991262695312493,0.0,63.220836226851866,-247.11622395833342,0.0,0.0
